DIS_LOSS_REAL: 1.3255875111, DIS_LOSS_FAKE: 0.1400609612, TOTAL: 0.7328242361315, GEN_LOSS_BATCH: 2.2419462204
DIS_LOSS_REAL: 1.5124778748, DIS_LOSS_FAKE: 0.103989765, TOTAL: 0.8082338198779999, GEN_LOSS_BATCH: 2.6244578362
DIS_LOSS_REAL: 1.639071703, DIS_LOSS_FAKE: 0.103614971, TOTAL: 0.8713433369785001, GEN_LOSS_BATCH: 2.5680689812
DIS_LOSS_REAL: 1.8577570915, DIS_LOSS_FAKE: 0.0875481963, TOTAL: 0.972652643911, GEN_LOSS_BATCH: 2.6525378227
DIS_LOSS_REAL: 1.7093513012, DIS_LOSS_FAKE: 0.1006047577, TOTAL: 0.9049780294465, GEN_LOSS_BATCH: 2.5464384556
DIS_LOSS_REAL: 1.6607661247, DIS_LOSS_FAKE: 0.0983279645, TOTAL: 0.8795470446125, GEN_LOSS_BATCH: 2.6512870789
DIS_LOSS_REAL: 1.385052681, DIS_LOSS_FAKE: 0.1549945027, TOTAL: 0.7700235918345, GEN_LOSS_BATCH: 2.2512631416
DIS_LOSS_REAL: 1.6790101528, DIS_LOSS_FAKE: 0.118875578, TOTAL: 0.8989428654085, GEN_LOSS_BATCH: 2.4565272331
DIS_LOSS_REAL: 1.5944136381, DIS_LOSS_FAKE: 0.1006994247, TOTAL: 0.8475565314075, GEN_LOSS_BATCH: 2.6354506016
DIS_LOSS_REAL: 1.4894622564, DIS_LOSS_FAKE: 0.1168622822, TOTAL: 0.803162269316, GEN_LOSS_BATCH: 2.4513225555
DIS_LOSS_REAL: 1.3024587631, DIS_LOSS_FAKE: 0.1720971465, TOTAL: 0.7372779548115, GEN_LOSS_BATCH: 2.087944746
DIS_LOSS_REAL: 1.4923319817, DIS_LOSS_FAKE: 0.1281492114, TOTAL: 0.8102405965295, GEN_LOSS_BATCH: 2.4238910675
DIS_LOSS_REAL: 1.2501518726, DIS_LOSS_FAKE: 0.204198584, TOTAL: 0.7271752283175, GEN_LOSS_BATCH: 2.0208601952
DIS_LOSS_REAL: 1.5044423342, DIS_LOSS_FAKE: 0.1093139127, TOTAL: 0.8068781234375, GEN_LOSS_BATCH: 0.0006004262
DIS_LOSS_REAL: 1.4473938942, DIS_LOSS_FAKE: 0.1089015827, TOTAL: 0.778147738448, GEN_LOSS_BATCH: 3.91642e-05
DIS_LOSS_REAL: 1.4599285126, DIS_LOSS_FAKE: 0.1212683171, TOTAL: 0.7905984148365, GEN_LOSS_BATCH: 4.0984e-06
DIS_LOSS_REAL: 1.5541427135, DIS_LOSS_FAKE: 0.1045104861, TOTAL: 0.8293265998235, GEN_LOSS_BATCH: 8.55e-07
DIS_LOSS_REAL: 1.4399476051, DIS_LOSS_FAKE: 0.1165599376, TOTAL: 0.7782537713665, GEN_LOSS_BATCH: 2.525e-07
DIS_LOSS_REAL: 1.4400775433, DIS_LOSS_FAKE: 0.1287887692, TOTAL: 0.7844331562295, GEN_LOSS_BATCH: 5.08e-08
DIS_LOSS_REAL: 1.4806565046, DIS_LOSS_FAKE: 0.1234522834, TOTAL: 0.8020543940155, GEN_LOSS_BATCH: 3.52e-08
DIS_LOSS_REAL: 1.5422617197, DIS_LOSS_FAKE: 0.1090956777, TOTAL: 0.8256786987020001, GEN_LOSS_BATCH: 3.1e-09
DIS_LOSS_REAL: 1.4540965557, DIS_LOSS_FAKE: 0.1136503816, TOTAL: 0.7838734686550001, GEN_LOSS_BATCH: 1.4e-09
DIS_LOSS_REAL: 1.5111109018, DIS_LOSS_FAKE: 0.1191943437, TOTAL: 0.8151526227665, GEN_LOSS_BATCH: 8e-10
DIS_LOSS_REAL: 1.5305895805, DIS_LOSS_FAKE: 0.1068949997, TOTAL: 0.8187422901179999, GEN_LOSS_BATCH: 4e-10
DIS_LOSS_REAL: 1.3360023499, DIS_LOSS_FAKE: 0.1300115883, TOTAL: 0.7330069690769999, GEN_LOSS_BATCH: 3e-10
DIS_LOSS_REAL: 1.4891142845, DIS_LOSS_FAKE: 0.1258505136, TOTAL: 0.8074823990575, GEN_LOSS_BATCH: 5e-10
DIS_LOSS_REAL: 1.4720292091, DIS_LOSS_FAKE: 0.1176579446, TOTAL: 0.7948435768684999, GEN_LOSS_BATCH: 2e-10
DIS_LOSS_REAL: 1.5437648296, DIS_LOSS_FAKE: 0.1157682166, TOTAL: 0.829766523118, GEN_LOSS_BATCH: 1e-10
